time,close,signal,position,strategy_returns,osc,heat_zone,wma,cumulative
2025-10-27 14:00:00,4032.5,sell,-0.6666666666666667,-0.001278999067258448,-128.18160973492164,-2.0,4060.624326991939,7.51349644718537
2025-10-27 14:15:00,4034.58,hold,0.0,0.00021206202151431263,-117.67080786208874,-2.0,4060.3497892509895,7.5150897744306
2025-10-27 14:30:00,4034.86,sell,0.0,0.0007931432763756867,-115.65364931551858,-2.0,4060.1256962294683,7.52105031735655
2025-10-27 14:45:00,4045.29,sell,0.0,-0.0004956801475144119,-64.66411446506814,-2.0,4059.4351457110047,7.517322282025779
2025-10-27 15:00:00,4039.66,sell,0.0,0.0007910434109791431,-86.00946165675211,-2.0,4058.511983853235,7.523268810285183
2025-10-27 15:15:00,4034.02,sell,0.0,0.0007921458736625899,-107.01864119936567,-2.0,4057.351348005156,7.529228336629704
2025-10-27 15:30:00,4025.38,sell,0.0,0.0007932533800030288,-135.18082785546494,-2.0,4054.989197448494,7.535200922456551
2025-10-27 15:45:00,4021.86,sell,0.0,0.0007949560041535999,-147.23528421013637,-2.0,4054.015449895073,7.541191075672361
2025-10-27 16:00:00,4004.9,sell,0.0,0.0007956517631145336,-205.15698825582223,-2.0,4050.009097949737,7.547191237647703
2025-10-27 16:15:00,3998.32,sell,0.0,0.0007990211990311413,-224.0246782407704,-2.0,4047.888820430944,7.553221603439726
2025-10-27 16:30:00,3994.39,sell,0.0,0.0008003361411792497,-235.567294276881,-2.0,4046.6842903584075,7.559266719671295
2025-10-27 16:45:00,3987.91,sell,0.0,0.0008011235758150351,-254.74702329686872,-2.0,4044.601402564485,7.565322626456298
2025-10-27 17:00:00,3978.81,sell,0.0,0.000802425330561577,-281.0025925011304,-2.0,4041.6326255951076,7.5713932329656375
2025-10-27 17:15:00,3986.49,sell,-0.33333333333333337,-0.0003082998853091097,-236.19037756494592,-2.0,4039.259181774805,7.569058973300284
2025-10-27 17:30:00,3981.52,hold,0.0,0.00016085211407431476,-250.91357740773248,-2.0,4037.600439118515,7.570276472437693
2025-10-27 17:45:00,3989.99,sell,0.0,-0.000502320721734413,-205.11384109030917,-2.0,4035.8643259013706,7.56647376569633
2025-10-27 18:00:00,3993.56,sell,0.0,0.0008020070225739458,-184.73077910366726,-2.0,4034.7902473189265,7.572542130792541
2025-10-27 18:15:00,3987.1,sell,0.0,0.0008012900770239631,-202.35241851533604,-2.0,4032.2330881304974,7.578609933659791
2025-10-27 18:30:00,3993.45,sell,-0.33333333333333337,-0.00019646693921225556,-164.43069484193936,-2.0,4030.1218268557336,7.577120987362641
2025-10-27 18:45:00,3998.98,hold,0.0,0.0001605176694840923,-134.0200876250604,-2.0,4028.8092529629726,7.578337249164932
2025-10-27 19:00:00,3998.65,sell,0.0,-0.0005001275325207928,-134.14091770860827,-2.0,4028.5105731274425,7.574547114055896
2025-10-27 19:15:00,4005.21,sell,0.0,0.0008002700911557195,-95.83562688244967,-2.0,4026.619199867405,7.580608797565326
2025-10-27 19:30:00,4002.6,sell,0.0,0.0007989593554394946,-102.57268339142094,-2.0,4025.4959666685827,7.586665395884067
2025-10-27 19:45:00,4006.45,sell,0.0,-0.0004996752111127767,-75.87464623948846,-2.0,4023.3433382359294,7.582874527250736
2025-10-27 20:00:00,4009.59,sell,0.0,0.0007987120767761531,-59.03563428897209,-2.0,4022.7205877072847,7.588931060712329
2025-10-27 20:15:00,4008.3,sell,0.0,0.000798086587406647,-64.64135773799254,-2.0,4022.584382591584,7.594987684804638
2025-10-27 20:30:00,4003.52,sell,0.0,0.0007983434373674171,-84.72532493606604,-2.0,4022.226589217959,7.601051093379689
2025-10-27 20:45:00,3999.05,sell,0.0,0.0007992966189752563,-100.68786833070342,-2.0,4021.279364130711,7.607126587819285
2025-10-27 21:00:00,4001.22,sell,0.0,0.0008001900451356742,-88.27843519512537,-2.0,4020.6340169112414,7.613213734786945
2025-10-27 21:15:00,3989.15,sell,0.0,0.0007997560743972634,-135.39159829374782,-2.0,4018.8817242021105,7.6193024487170256
2025-10-27 21:30:00,3987.97,sell,-0.6666666666666667,0.00033089755963050527,-134.62499970671138,-2.0,4017.4258153108285,7.621823657303393
2025-10-27 21:45:00,3990.09,hold,0.0,0.0005347839347563296,-121.5559011884699,-2.0,4016.588821791383,7.625899686148864
2025-10-27 22:00:00,3992.69,sell,-0.33333333333333337,0.00011695642621259607,-106.7765042414647,-2.0,4015.9107931538956,7.626791584122813
2025-10-27 22:15:00,3999.91,hold,0.0,0.00016039738452015476,-69.84538459184955,-2.0,4015.1015108394963,7.628014901545186
2025-10-27 22:30:00,3987.76,sell,0.0,0.0008000180004049637,-118.54846244734688,-2.0,4013.5510478446577,7.634117450773779
2025-10-27 22:45:00,3981.02,sell,0.0,0.000802455513872404,-139.97450864824683,-2.0,4011.4612362172948,7.640243490415702
2025-10-28 00:00:00,3985.54,sell,0.0,-0.0005023838111840684,-116.64536188895255,-2.0,4010.975570968143,7.6364051557726125
2025-10-28 00:15:00,3992.28,sell,0.0,-0.0005018140578190158,-75.19750382864677,-2.0,4008.693359160679,7.632573100314244
2025-10-28 00:30:00,3992.16,sell,0.0,0.0008015469856823213,-72.46392827994512,-2.0,4007.959745066446,7.638690966275801
2025-10-28 00:45:00,3989.78,sell,0.0,0.0008015710793154128,-82.18266327159533,-2.0,4007.67527492739,7.644813920038196
2025-10-28 01:00:00,3982.92,sell,0.0,0.0008020492357974168,-107.66409627049816,-2.0,4006.339094220759,7.650945437200576
2025-10-28 01:15:00,3995.25,sell,0.0,-0.0005021441555441736,-46.99817190891773,-2.0,4005.4557000281934,7.647103559664899
2025-10-28 01:30:00,4000.54,sell,0.0,-0.0005005944559164007,-19.800410386240156,-2.0,4004.84058973466,7.643275462019112
2025-10-28 01:45:00,3998.46,sell,0.0,0.0007998920145779865,-25.27094498876977,-2.0,4003.941571219404,7.6493892570264
2025-10-28 02:00:00,3986.38,sell,0.0,0.0008003081186256254,-73.72306501942234,-2.0,4002.450890943584,7.655511125351326
